Id,Genre 1,Genre 2,Genre 3,Genre 4,Popularity, Budget , Revenue 
10379,Comedy,Fantasy,Family,,7.88101,6788000.0,13878334.0
2756,Adventure,Action,Thriller,Science,9.809585,70000000.0,90000098.0
790,Horror,,,,9.194572,1000000.0,21378361.0
1103,Science,name:,,,10.124544,6000000.0,50244700.0
11298,Drama,Horror,,,6.715512,1000000.0,17985893.0
762,Adventure,Comedy,Fantasy,,10.43389,400000.0,5028948.0
49763,Horror,,,,2.661026,7000000.0,1100000.0
892,Comedy,Science,name:,,12.565447,4000000.0,1794187.0
409,Drama,Romance,War,,15.564161,27000000.0,231976425.0
10161,Drama,,,,5.841931,645180.0,14743391.0
10409,Comedy,Drama,Romance,,3.233531,3000000.0,33946224.0
10174,Documentary,Music,,,1.325299,4.0,29.0
31225,Documentary,,,,4.101295,500000.0,3779620.0
510,Drama,,,,35.529554,3000000.0,108981275.0
1891,Adventure,Action,Science,,19.470959,18000000.0,538400000.0
2493,Adventure,Family,Fantasy,Comedy,15.15267,16000000.0,30857814.0
85,Adventure,Action,,,19.901576,18000000.0,389925971.0
679,Horror,Action,Thriller,Science,21.761179,18500000.0,183316455.0
429,Western,,,,16.788787,1200000.0,6000000.0
389,Drama,,,,16.503959,350000.0,1000000.0
947,Adventure,Drama,History,War,10.893332,15000000.0,69995385.0
185,Science,name:,,,17.112594,2200000.0,26589000.0
595,Crime,Drama,,,14.284787,2000000.0,13129846.0
28,Drama,War,,,13.5963,31500000.0,89460381.0
335,Western,,,,15.589351,5000000.0,5321508.0
1892,Adventure,Action,Science,,14.586087,32350000.0,572700000.0
144,Drama,Fantasy,Romance,,6.357321,2500000.0,3200000.0
769,Drama,Crime,,,15.424092,25000000.0,46836394.0
348,Horror,Action,Thriller,Science,23.37742,11000000.0,104931801.0
11645,Action,Drama,History,,12.250232,11500000.0,4069653.0
539,Drama,Horror,Thriller,,36.826309,806948.0,32000000.0
525,Music,Comedy,Action,Crime,10.076901,27000000.0,115229890.0
240,Drama,Crime,,,36.629307,13000000.0,47542841.0
600,Drama,War,,,13.94148,17000000.0,46357676.0
279,Drama,History,Music,,12.677592,18000000.0,51973029.0
1578,Drama,,,,8.868558,18000000.0,23000000.0
703,Comedy,Drama,Romance,,18.146043,4000000.0,38251425.0
9549,Drama,History,,,14.902397,27000000.0,21500000.0
387,Action,Drama,History,War,8.80338,14000000.0,85000000.0
9277,Comedy,Crime,Drama,,12.016821,5500000.0,159616327.0
218,Action,Thriller,Science,,19.293562,6400000.0,78371200.0
763,Horror,Comedy,,,13.645568,3000000.0,242623.0
9665,War,,,,7.521346,18000000.0,26828365.0
379,Drama,Thriller,Crime,,7.495853,14000000.0,5080409.0
207,Drama,,,,19.905716,16400000.0,235860116.0
37247,Drama,,,,12.057829,3000000.0,104945305.0
1480,Drama,Thriller,Crime,,9.665347,829000.0,2247465.0
