Id,Vote Average, Budget 
9980,5.5,10000000.0
10489,5.7,5000000.0
10823,5.6,800000.0
11497,6.3,13800000.0
2907,6.7,30000000.0
9454,6.8,26000000.0
8688,5.8,73000000.0
118452,3.0,300000.0
23954,6.7,7200000.0
396,7.8,7500000.0
16081,6.0,18000000.0
11837,7.3,1000000.0
11704,7.5,7000000.0
11639,7.3,15000000.0
4978,6.6,9000000.0
11976,6.2,25000000.0
15144,6.9,6500000.0
8393,7.1,5000000.0
9320,4.4,60000000.0
33644,6.0,20000000.0
805,7.5,3200000.0
34584,7.0,27000000.0
34636,5.5,32000000.0
77469,5.9,5000000.0
36647,6.5,45000000.0
4011,7.1,15000000.0
1580,7.8,1500000.0
5854,6.7,2000000.0
573,7.2,3500000.0
2370,6.1,4000000.0
5780,6.4,3000000.0
506,7.2,2135161.0
22527,6.9,1200000.0
574,7.3,2500000.0
11219,6.9,1200000.0
845,7.6,1200000.0
3682,5.5,13000000.0
51942,7.5,250.0
847,6.9,35000000.0
117,7.6,25000000.0
11462,7.1,1103000.0
10220,6.9,12000000.0
431,6.9,250000.0
22796,6.5,20000000.0
22256,6.4,25000000.0
12626,6.8,20000000.0
3525,6.5,28000000.0
2321,5.8,10000000.0
48311,5.1,800000.0
11933,5.0,40000000.0
881,7.1,40000000.0
4478,5.8,38000000.0
2109,6.8,33000000.0
24746,5.8,2000000.0
8195,6.8,55000000.0
9877,5.6,14000000.0
24016,6.4,25000000.0
1091,7.8,15000000.0
10403,6.9,8000000.0
11337,6.9,10000000.0
162,7.5,20000000.0
8916,6.0,60000000.0
9429,5.9,17000000.0
12159,6.8,85000000.0
27791,4.7,1100000.0
10156,6.5,11000000.0
10377,7.3,11000000.0
4437,6.6,28000000.0
1955,7.9,5000000.0
11932,5.5,25000000.0
6435,6.3,75000000.0
10683,7.4,3000000.0
9425,6.1,75000000.0
637,8.3,20000000.0
20701,5.8,3500000.0
73,8.2,20000000.0
46889,5.4,12000000.0
3033,6.8,10000000.0
9882,6.1,70000000.0
10663,5.9,23000000.0
4518,7.2,30000000.0
3600,5.1,65000000.0
297,6.9,90000000.0
11893,7.0,9000000.0
14924,7.0,4000000.0
9798,6.7,90000000.0
14444,5.8,30000000.0
9487,6.8,120000000.0
666,7.6,2900000.0
692,6.2,12000.0
39256,6.7,2000000.0
244,7.7,672000.0
10730,5.9,23000000.0
31947,4.6,10000000.0
8130,6.0,5000000.0
9749,6.8,8000000.0
14628,5.8,8045760.0
9626,5.0,17900000.0
10466,6.2,10000000.0
707,6.0,30000000.0
9336,6.5,4500000.0
9447,5.3,90000000.0
12257,4.8,15000000.0
37536,3.8,3500000.0
10029,6.2,30000000.0
11252,4.8,60000000.0
200,6.3,70000000.0
9837,6.9,70000000.0
11545,7.5,9000000.0
1934,6.8,25000000.0
13764,6.1,50000000.0
1369,6.3,44000000.0
1368,7.2,15000000.0
1370,5.7,63000000.0
10303,6.0,25000000.0
9326,6.6,10000000.0
11285,5.4,17500000.0
1367,6.9,7000000.0
1371,6.6,17000000.0
1374,6.6,31000000.0
1375,5.3,42000000.0
15196,7.1,15000000.0
1885,6.9,8000000.0
8856,5.9,113.0
5825,7.1,27000000.0
9489,6.3,65000000.0
8741,7.2,52000000.0
9276,6.2,15000000.0
10312,7.0,50000000.0
9422,6.1,70000000.0
10368,5.8,12000000.0
31662,5.8,6000000.0
825,6.6,20000000.0
9423,5.0,75000000.0
10658,5.1,37000000.0
11815,6.9,700000.0
9426,7.1,15000000.0
2620,5.3,12000000.0
30497,7.1,85000.0
16337,5.8,4700000.0
16780,3.9,600000.0
192,7.2,20000000.0
10013,5.9,18000000.0
9671,6.3,5000000.0
11873,6.7,13800000.0
10015,6.5,15000000.0
10314,5.7,10000000.0
47139,6.0,7300.0
11167,7.6,150000.0
2112,6.7,90000000.0
16172,5.5,6000000.0
11622,6.3,35000000.0
10207,5.9,80000000.0
9849,5.1,65000000.0
18892,5.9,3000000.0
1542,7.4,10000000.0
15256,6.1,6000000.0
8224,6.1,40000000.0
8913,6.4,11500000.0
10906,5.0,8000000.0
25748,4.5,900000.0
10671,6.2,10000000.0
27932,5.5,3000000.0
7227,5.8,6000000.0
5919,7.1,14000000.0
10803,6.6,9000000.0
871,7.5,5800000.0
1685,6.2,3000000.0
1705,5.5,1700000.0
1688,6.1,1700000.0
1687,6.3,2500000.0
11123,5.6,7000000.0
29723,4.7,14000000.0
9535,6.4,80000000.0
9455,6.1,25000000.0
796,6.6,10500000.0
100,7.5,1350000.0
30943,6.0,38000000.0
7341,5.1,21000000.0
9540,7.0,13000000.0
22345,3.3,12000000.0
1641,5.1,75000000.0
47288,5.0,25000000.0
16520,7.3,4550000.0
16379,4.1,50000000.0
603,7.9,63000000.0
4951,7.3,16000000.0
8970,5.1,75000000.0
11660,7.2,6000.0
9430,7.0,6500000.0
11355,5.8,25000000.0
18764,6.2,10000000.0
9465,6.2,10000000.0
6522,6.4,80000000.0
1902,7.4,2900000.0
39964,4.9,1.0
1946,6.7,15000000.0
1844,6.0,66000000.0
6552,6.1,25000000.0
3309,7.4,1453000.0
18462,6.1,3000000.0
8592,5.9,47000000.0
564,6.6,80000000.0
13852,7.4,786675.0
4927,5.7,1500000.0
1893,6.4,115000000.0
1924,6.9,55000000.0
8536,6.5,54000000.0
9531,5.3,39000000.0
11411,4.1,17000000.0
138,7.2,355000.0
3035,7.3,291000.0
36685,7.4,1200000.0
30168,6.0,5000000.0
8974,6.8,2000000.0
509,7.0,42000000.0
1090,6.8,16000000.0
62676,7.0,8000000.0
817,6.1,33000000.0
14283,7.2,18000000.0
37135,7.1,150000000.0
2275,6.1,60000000.0
24137,6.3,14000000.0
104,7.2,1530000.0
9032,6.2,34200000.0
9421,7.7,12500000.0
6488,6.2,31000000.0
8487,5.1,170000000.0
2105,6.4,11000000.0
10208,5.8,24000000.0
2667,6.3,60000.0
345,7.1,65000000.0
9825,5.5,27000000.0
16158,7.1,6000000.0
620,7.3,30000000.0
2978,6.3,37000000.0
10490,6.5,10000000.0
11618,5.2,80000000.0
1812,6.7,450000.0
8914,5.6,60000000.0
9824,5.7,68000000.0
4806,5.8,70000000.0
967,7.3,12000000.0
802,7.3,2000000.0
3175,7.7,11000000.0
21185,6.0,1884000.0
10136,5.6,25000000.0
873,7.7,15000000.0
108312,2.0,2000000.0
11416,7.1,24500000.0
10776,6.7,25000000.0
16406,5.7,13000000.0
10386,7.6,70000000.0
745,7.7,40000000.0
913,6.7,48000000.0
17707,6.2,25000000.0
9781,6.7,6500000.0
48781,4.7,6400000.0
29056,6.3,350000.0
28501,6.9,200000.0
10766,6.1,6800000.0
813,7.1,3500000.0
9406,5.3,22000000.0
11153,7.1,15000000.0
2280,6.9,18000000.0
9944,6.3,45000000.0
10342,5.3,13000000.0
10366,4.2,45000000.0
22314,6.3,7000000.0
1911,6.4,160000000.0
2900,5.5,75000000.0
2162,5.3,70000000.0
14578,5.6,7000000.0
10307,6.0,29000000.0
11601,6.5,12000000.0
26522,6.2,6000000.0
14,7.9,15000000.0
24128,8.7,1200000.0
11001,6.1,65000000.0
9453,5.3,17500000.0
704,7.3,560000.0
24153,7.5,1200000.0
11797,6.9,9000000.0
10669,7.2,2000000.0
11527,7.1,11000000.0
28032,6.1,28000000.0
11326,6.5,5000000.0
10398,6.2,70000000.0
60994,5.9,2600000.0
14429,5.8,8000000.0
15198,6.0,28000000.0
6415,6.6,75000000.0
24066,5.5,1700000.0
10349,5.4,15000000.0
29787,6.2,7000000.0
9638,6.5,300000.0
10576,6.0,5000000.0
12618,5.3,64000000.0
226,7.2,2000000.0
10388,6.6,10000000.0
9346,6.4,6200000.0
861,7.1,65000000.0
9377,7.5,6000000.0
11541,6.8,6000000.0
11901,7.4,5500000.0
4929,6.7,1800000.0
18254,7.1,32000000.0
19997,6.7,1250000.0
17352,6.3,6000000.0
535,6.1,4000000.0
1654,7.5,5400000.0
658,7.2,2500000.0
657,6.9,2000000.0
646,6.9,950000.0
5689,5.8,4500000.0
391,7.6,200000.0
8052,6.8,3000000.0
772,6.3,18000000.0
31650,5.8,17000000.0
73575,8.0,463455.0
302579,0.0,700000.0
550,8.3,63000000.0
12220,5.9,50000000.0
36819,6.6,5000000.0
11562,7.4,19000000.0
16162,6.8,9000000.0
5548,7.1,13000000.0
5549,5.6,35000000.0
856,7.2,70000000.0
699,6.3,28000000.0
709,5.9,32000000.0
253,6.4,7000000.0
660,6.5,5500000.0
11377,5.5,19000000.0
26149,6.3,27000000.0
492,7.3,13000000.0
108346,6.0,2000000.0
128,8.2,26500000.0
2020,4.5,51000000.0
